;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
    30 Fabrication de machines de bureau et de matériel informatique;170.258;216.037;183.475;172.012;178.727;139.914;211.647;267.571;128.759;75.552;47.95;23.835;17.358;80.976;121.917;151.08;130.131;95.991;272.837;125.881;27.107;37.262;28.459;18.998;5.175;0.767;2.48;;;;
        300 Fabrication de machines de bureau et de matériel informatique;170.258;216.037;183.475;172.012;178.727;139.914;211.647;267.571;128.759;75.552;47.95;23.835;17.358;80.976;121.917;151.08;130.131;95.991;272.837;125.881;27.107;37.262;28.459;18.998;;;;;;;
    34 Industrie automobile;3744.474;5127.997;4907.25;3936.753;4474.715;5284.417;5746.749;5941.115;5393.909;5167.095;4947.132;5310.332;5186.619;5070.469;4149.887;4408.446;4427.433;6966.667;8502.183;7596.448;7791.281;8640.117;10016.652;22041.252;28210.725;35569.024;39848.88;;;;
        341 Construction de véhicules automobiles;2784.906;3909.347;3599.955;2775.688;3185.564;3669.727;4181.349;4073.864;4429.435;4212.731;4060.247;4156.425;3917.693;3917.588;2901.627;3196.805;2147.013;4074.426;5659.167;5500.235;5285.777;6456.198;7335.267;18250.181;;;;;;;
        342 Fabrication de carrosserie et remorques;22.971;26.506;35.609;37.689;38.324;40.649;69.761;73.43;498.407;475.502;409.746;570.67;477.21;418.624;497.108;545.503;1642.393;2340.749;2424.166;1624.228;1973.148;1577.126;1845.915;1712.941;;;;;;;
        343 Fabrication d'équipements automobiles;936.597;1192.144;1271.686;1123.376;1250.827;1574.041;1495.639;1793.821;466.067;478.862;477.139;583.237;791.716;734.257;751.152;666.138;638.027;551.492;418.85;499.473;564.535;606.793;835.47;2078.13;;;;;;;
    35 Fabrication d'autres matériels de transport;558.369;545.669;677.031;638.549;756.705;629.609;586.02;612.55;609.961;720.158;936.223;859.395;904.934;939.012;1081.615;1467.874;2020.99;2622.706;3590.75;3187.873;3484.084;4039.331;4865.922;4887.356;5313.343;6074.38;6791.359;;;;
        351 Construction navale;118.196;100.057;87.531;128.539;207.105;150.684;160.832;177.627;175.804;189.313;187.967;220.329;217.416;253.603;257.128;257.281;281.245;299.508;283.041;278.303;245.302;211.494;191.25;159.068;;;;;;;
        352 Construction de matériel ferroviaire roulant;77.107;83.442;149.865;69.851;107.084;83.526;7.116;33.063;38.922;;52.4;0.403;45.845;35.659;36.447;;;311.111;480.756;167.01;169.599;203.458;433.784;264.49;;;;;;;
        353 Construction aéronautique et spatiale;48.359;66.609;65.004;77.452;75.671;86.938;75.593;68.457;71.134;317.429;494.005;453.275;462.431;469.651;589.454;930.464;1415.184;1682.157;2440.923;2383.113;2776.153;3319.354;3954.008;4138.918;;;;;;;
